============================================================
superquant 模拟交易 (ML驱动)
  启动: 2026-06-26 11:29:56
  当前资金: ¥5,000
============================================================
  📦 恢复持仓: 300650 ¥14.87×300股
  📦 恢复持仓: 002141 ¥5.35×100股
  当前资金: ¥2, 持仓: 2只
  加载ML候选池...
  ML候选: 主力200只 + 探索0只 = 200只 (from DB)
  监控池: 200只 (主力200只/探索0只)
  [11:29:56] 资金=¥2, 持仓=2
  [13:00:02] 资金=¥2, 持仓=2
  [13:00:07] 资金=¥2, 持仓=2
  [13:00:13] 资金=¥2, 持仓=2
  [13:00:18] 资金=¥2, 持仓=2
  [13:00:24] 资金=¥2, 持仓=2
  [13:00:29] 资金=¥2, 持仓=2
  [13:00:34] 资金=¥2, 持仓=2
  [13:00:40] 资金=¥2, 持仓=2
  [13:00:45] 资金=¥2, 持仓=2
  [13:00:50] 资金=¥2, 持仓=2
  [13:00:55] 资金=¥2, 持仓=2
  [13:01:00] 资金=¥2, 持仓=2
  [13:01:06] 资金=¥2, 持仓=2
  [13:01:11] 资金=¥2, 持仓=2
  [13:01:16] 资金=¥2, 持仓=2
  [13:01:21] 资金=¥2, 持仓=2
  [13:01:27] 资金=¥2, 持仓=2
  [13:01:32] 资金=¥2, 持仓=2
  [13:01:37] 资金=¥2, 持仓=2
  [13:01:42] 资金=¥2, 持仓=2
  [13:01:48] 资金=¥2, 持仓=2
  [13:01:53] 资金=¥2, 持仓=2
  [13:01:58] 资金=¥2, 持仓=2
  [13:02:03] 资金=¥2, 持仓=2
  [13:02:09] 资金=¥2, 持仓=2
  [13:02:14] 资金=¥2, 持仓=2
  [13:02:19] 资金=¥2, 持仓=2
  [13:02:24] 资金=¥2, 持仓=2
  [13:02:30] 资金=¥2, 持仓=2
  [13:02:35] 资金=¥2, 持仓=2
  [13:02:40] 资金=¥2, 持仓=2
  [13:02:45] 资金=¥2, 持仓=2
  [13:02:51] 资金=¥2, 持仓=2
  [13:02:56] 资金=¥2, 持仓=2
  [13:03:02] 资金=¥2, 持仓=2
  [13:03:07] 资金=¥2, 持仓=2
  [13:03:12] 资金=¥2, 持仓=2
  [13:03:18] 资金=¥2, 持仓=2
  [13:03:23] 资金=¥2, 持仓=2
  [13:03:28] 资金=¥2, 持仓=2
  [13:03:33] 资金=¥2, 持仓=2
  [13:03:39] 资金=¥2, 持仓=2
  [13:03:44] 资金=¥2, 持仓=2
  [13:03:49] 资金=¥2, 持仓=2
  [13:03:54] 资金=¥2, 持仓=2
  [13:04:00] 资金=¥2, 持仓=2
  [13:04:05] 资金=¥2, 持仓=2
  [13:04:10] 资金=¥2, 持仓=2
  [13:04:15] 资金=¥2, 持仓=2
  [13:04:21] 资金=¥2, 持仓=2
  [13:04:26] 资金=¥2, 持仓=2
  [13:04:31] 资金=¥2, 持仓=2
  [13:04:37] 资金=¥2, 持仓=2
  [13:04:42] 资金=¥2, 持仓=2
  [13:04:47] 资金=¥2, 持仓=2
  [13:04:53] 资金=¥2, 持仓=2
  [13:04:58] 资金=¥2, 持仓=2
  [13:05:03] 资金=¥2, 持仓=2
  [13:05:08] 资金=¥2, 持仓=2
  [13:05:14] 资金=¥2, 持仓=2
  [13:05:19] 资金=¥2, 持仓=2
  [13:05:24] 资金=¥2, 持仓=2
  [13:05:29] 资金=¥2, 持仓=2
  [13:05:35] 资金=¥2, 持仓=2
  [13:05:40] 资金=¥2, 持仓=2
  [13:05:45] 资金=¥2, 持仓=2
  [13:05:51] 资金=¥2, 持仓=2
  [13:05:56] 资金=¥2, 持仓=2
  [13:06:01] 资金=¥2, 持仓=2
  [13:06:06] 资金=¥2, 持仓=2
  [13:06:12] 资金=¥2, 持仓=2
  [13:06:17] 资金=¥2, 持仓=2
  [13:06:22] 资金=¥2, 持仓=2
  [13:06:27] 资金=¥2, 持仓=2
  [13:06:33] 资金=¥2, 持仓=2
  [13:06:38] 资金=¥2, 持仓=2
  [13:06:43] 资金=¥2, 持仓=2
  [13:06:48] 资金=¥2, 持仓=2
  [13:06:54] 资金=¥2, 持仓=2
  [13:07:00] 资金=¥2, 持仓=2
  [13:07:05] 资金=¥2, 持仓=2
  [13:07:10] 资金=¥2, 持仓=2
  [13:07:15] 资金=¥2, 持仓=2
  [13:07:21] 资金=¥2, 持仓=2
  [13:07:26] 资金=¥2, 持仓=2
  [13:07:31] 资金=¥2, 持仓=2
  [13:07:36] 资金=¥2, 持仓=2
  [13:07:42] 资金=¥2, 持仓=2
  [13:07:47] 资金=¥2, 持仓=2
  [13:07:52] 资金=¥2, 持仓=2
  [13:07:57] 资金=¥2, 持仓=2
  [13:08:02] 资金=¥2, 持仓=2
  [13:08:08] 资金=¥2, 持仓=2
  [13:08:13] 资金=¥2, 持仓=2
  [13:08:18] 资金=¥2, 持仓=2
  [13:08:24] 资金=¥2, 持仓=2
  [13:08:29] 资金=¥2, 持仓=2
  [13:08:34] 资金=¥2, 持仓=2
  [13:08:39] 资金=¥2, 持仓=2
  [13:08:44] 资金=¥2, 持仓=2
  [13:08:50] 资金=¥2, 持仓=2
  [13:08:55] 资金=¥2, 持仓=2
  [13:09:00] 资金=¥2, 持仓=2
  [13:09:05] 资金=¥2, 持仓=2
  [13:09:11] 资金=¥2, 持仓=2
  [13:09:16] 资金=¥2, 持仓=2
  [13:09:21] 资金=¥2, 持仓=2
  [13:09:26] 资金=¥2, 持仓=2
  [13:09:32] 资金=¥2, 持仓=2
  [13:09:39] 资金=¥2, 持仓=2
  [13:09:44] 资金=¥2, 持仓=2
  [13:09:49] 资金=¥2, 持仓=2
  [13:09:54] 资金=¥2, 持仓=2
  [13:10:00] 资金=¥2, 持仓=2
  [13:10:05] 资金=¥2, 持仓=2
  [13:10:10] 资金=¥2, 持仓=2
  [13:10:15] 资金=¥2, 持仓=2
  [13:10:21] 资金=¥2, 持仓=2
  [13:10:26] 资金=¥2, 持仓=2
  [13:10:31] 资金=¥2, 持仓=2
  [13:10:36] 资金=¥2, 持仓=2
  [13:10:42] 资金=¥2, 持仓=2
  [13:10:47] 资金=¥2, 持仓=2
  [13:10:52] 资金=¥2, 持仓=2
  [13:10:58] 资金=¥2, 持仓=2
  [13:11:03] 资金=¥2, 持仓=2
  [13:11:09] 资金=¥2, 持仓=2
  [13:11:14] 资金=¥2, 持仓=2
  [13:11:19] 资金=¥2, 持仓=2
  [13:11:24] 资金=¥2, 持仓=2
  [13:11:30] 资金=¥2, 持仓=2
  [13:11:35] 资金=¥2, 持仓=2
  [13:11:40] 资金=¥2, 持仓=2
  [13:11:45] 资金=¥2, 持仓=2
  [13:11:51] 资金=¥2, 持仓=2
  [13:11:56] 资金=¥2, 持仓=2
  [13:12:01] 资金=¥2, 持仓=2
  [13:12:06] 资金=¥2, 持仓=2
  [13:12:12] 资金=¥2, 持仓=2
  [13:12:17] 资金=¥2, 持仓=2
  [13:12:23] 资金=¥2, 持仓=2
  [13:12:28] 资金=¥2, 持仓=2
  [13:12:33] 资金=¥2, 持仓=2
  [13:12:38] 资金=¥2, 持仓=2
  [13:12:44] 资金=¥2, 持仓=2
  [13:12:49] 资金=¥2, 持仓=2
  [13:12:54] 资金=¥2, 持仓=2
  [13:12:59] 资金=¥2, 持仓=2
  [13:13:04] 资金=¥2, 持仓=2
  [13:13:10] 资金=¥2, 持仓=2
  [13:13:15] 资金=¥2, 持仓=2
  [13:13:20] 资金=¥2, 持仓=2
  [13:13:25] 资金=¥2, 持仓=2
  [13:13:31] 资金=¥2, 持仓=2
  [13:13:36] 资金=¥2, 持仓=2
  [13:13:42] 资金=¥2, 持仓=2
  [13:13:47] 资金=¥2, 持仓=2
  [13:13:52] 资金=¥2, 持仓=2
  [13:13:57] 资金=¥2, 持仓=2
  [13:14:02] 资金=¥2, 持仓=2
